omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG,*,_,**,_,IE,_,CONSTRUCTIEVE AFSCHEIDING,_,HEKWERK,_,DOORGANG,_,,_,,_,,-,,-,,,SIE-CONSTRUCTIEVE AFSCHEIDINGEN_HEKWERK_DOORGANG,*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,556,548.0,http://digitalbuildingdata.tech/nlcs/def/aa09cab8-6dc5-4203-8293-7a663dc340fe,http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba
MEUBILAIR_SPEELTOESTEL_VALZONE,*,_,**,_,IE,_,MEUBILAIR,_,SPEELTOESTEL,_,VALZONE,_,,_,,_,,-,,-,,AIE-SPEELTOESTEL_VALZONE-SO,,*_**_IE_MEUBILAIR_SPEELTOESTEL_VALZONE,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3104,3398.0,http://digitalbuildingdata.tech/nlcs/def/a6c41785-65f2-4cdf-ac89-de9180e1ca80,http://digitalbuildingdata.tech/nlcs/def/42a42f0f-21e8-4861-8961-f2fe84572a2f
MEUBILAIR_AFVAL APART PLAATS,*,_,**,_,IE,_,MEUBILAIR,_,AFVAL APART PLAATS,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_AFVAL APART PLAATS,*_**_IE_MEUBILAIR_AFVAL APART PLAATS,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3414,521.0,http://digitalbuildingdata.tech/nlcs/def/5fd690c7-b66c-4759-8ede-4f35f69ac908,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_BRIEVENBUS,*,_,**,_,IE,_,MEUBILAIR,_,BRIEVENBUS,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_BRIEVENBUS,*_**_IE_MEUBILAIR_BRIEVENBUS,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3403,521.0,http://digitalbuildingdata.tech/nlcs/def/30d0f29d-b003-43b1-ab6b-b580afd8cfdd,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_TELEFOONCEL,*,_,**,_,IE,_,MEUBILAIR,_,TELEFOONCEL,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_TELEFOONCEL-SO,*_**_IE_MEUBILAIR_TELEFOONCEL,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3574,521.0,http://digitalbuildingdata.tech/nlcs/def/f7b14599-5b46-4fa5-8548-78b5d372c755,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_TELEFOONCEL,*,_,**,_,IE,_,MEUBILAIR,_,TELEFOONCEL,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_TELEFOONCEL,*_**_IE_MEUBILAIR_TELEFOONCEL,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3574,521.0,http://digitalbuildingdata.tech/nlcs/def/f7b14599-5b46-4fa5-8548-78b5d372c755,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_TELEFOONCEL,*,_,**,_,IE,_,MEUBILAIR,_,TELEFOONCEL,_,,_,,_,,_,,-,,-,,,V-SIE-MEUBILAIR_TELEFOONCEL-SO,*_**_IE_MEUBILAIR_TELEFOONCEL,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3574,521.0,http://digitalbuildingdata.tech/nlcs/def/f7b14599-5b46-4fa5-8548-78b5d372c755,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_CONTAINER,*,_,**,_,IE,_,MEUBILAIR,_,CONTAINER,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_CONTAINER,*_**_IE_MEUBILAIR_CONTAINER,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3405,521.0,http://digitalbuildingdata.tech/nlcs/def/beb68b5a-e743-4c43-bce5-f360dc7a2a61,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_BESCHERMBEUGEL,*,_,**,_,IE,_,MEUBILAIR,_,BESCHERMBEUGEL,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_BESCHERMBEUGEL,*_**_IE_MEUBILAIR_BESCHERMBEUGEL,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3563,521.0,http://digitalbuildingdata.tech/nlcs/def/1d93ed10-ac46-41b2-83af-61d6e2d5a061,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_STROOIRESERVOIR,*,_,**,_,IE,_,MEUBILAIR,_,STROOIRESERVOIR,_,,_,,_,,_,,-,,-,,,V-SIE-MEUBILAIR_STROOIRESERVOIR-SO,*_**_IE_MEUBILAIR_STROOIRESERVOIR,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3106,521.0,http://digitalbuildingdata.tech/nlcs/def/ffa3a6e1-6e98-4304-887b-1d9b401c1e87,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_STROOIRESERVOIR,*,_,**,_,IE,_,MEUBILAIR,_,STROOIRESERVOIR,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_STROOIRESERVOIR-SO,*_**_IE_MEUBILAIR_STROOIRESERVOIR,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3106,521.0,http://digitalbuildingdata.tech/nlcs/def/ffa3a6e1-6e98-4304-887b-1d9b401c1e87,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_STROOIRESERVOIR,*,_,**,_,IE,_,MEUBILAIR,_,STROOIRESERVOIR,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_STROOIRESERVOIR,*_**_IE_MEUBILAIR_STROOIRESERVOIR,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3106,521.0,http://digitalbuildingdata.tech/nlcs/def/ffa3a6e1-6e98-4304-887b-1d9b401c1e87,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_ZITBANK,*,_,**,_,IE,_,MEUBILAIR,_,ZITBANK,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_ZITBANK,*_**_IE_MEUBILAIR_ZITBANK,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3413,521.0,http://digitalbuildingdata.tech/nlcs/def/c8a55d93-37c7-4679-a2d0-2caab0561939,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_ABRI,*,_,**,_,IE,_,MEUBILAIR,_,ABRI,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_ABRI,*_**_IE_MEUBILAIR_ABRI,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,526,521.0,http://digitalbuildingdata.tech/nlcs/def/6988a06d-0489-4c44-a590-50a730ea4f03,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_WATERSTANDMETER,*,_,**,_,IE,_,MEUBILAIR,_,WATERSTANDMETER,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_WATERSTANDMETER-SO,*_**_IE_MEUBILAIR_WATERSTANDMETER,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3562,521.0,http://digitalbuildingdata.tech/nlcs/def/a1e9db99-7210-41cd-a824-b94760755cf9,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_WATERSTANDMETER,*,_,**,_,IE,_,MEUBILAIR,_,WATERSTANDMETER,_,,_,,_,,_,,-,,-,,,V-SIE-MEUBILAIR_WATERSTANDMETER-SO,*_**_IE_MEUBILAIR_WATERSTANDMETER,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3562,521.0,http://digitalbuildingdata.tech/nlcs/def/a1e9db99-7210-41cd-a824-b94760755cf9,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_WATERSTANDMETER,*,_,**,_,IE,_,MEUBILAIR,_,WATERSTANDMETER,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_WATERSTANDMETER,*_**_IE_MEUBILAIR_WATERSTANDMETER,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3562,521.0,http://digitalbuildingdata.tech/nlcs/def/a1e9db99-7210-41cd-a824-b94760755cf9,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_BAK,*,_,**,_,IE,_,MEUBILAIR,_,BAK,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_BAK,*_**_IE_MEUBILAIR_BAK,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,537,521.0,http://digitalbuildingdata.tech/nlcs/def/a52c21bb-210a-4e56-b545-c20beaf7db16,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_DUKDALF,*,_,**,_,IE,_,MEUBILAIR,_,DUKDALF,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_DUKDALF,*_**_IE_MEUBILAIR_DUKDALF,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,7,CONTINUOUS,0.35,150,152,150,150,7,V-CONTINUOUS-SO,0.35,150,152,150,150,7,CONTINUOUS,,,3558,521.0,http://digitalbuildingdata.tech/nlcs/def/15d1ec44-a6fc-4e70-b407-3abcaeb4757d,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_SPEELTOESTEL,*,_,**,_,IE,_,MEUBILAIR,_,SPEELTOESTEL,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_SPEELTOESTEL,*_**_IE_MEUBILAIR_SPEELTOESTEL,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3398,521.0,http://digitalbuildingdata.tech/nlcs/def/42a42f0f-21e8-4861-8961-f2fe84572a2f,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_CAMERA,*,_,**,_,IE,_,MEUBILAIR,_,CAMERA,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_CAMERA,*_**_IE_MEUBILAIR_CAMERA,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3098,521.0,http://digitalbuildingdata.tech/nlcs/def/a1fed7b7-ff2a-4c8b-8639-f6df514c3e16,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_GRONDSPOT,*,_,**,_,IE,_,MEUBILAIR,_,GRONDSPOT,_,,_,,_,,_,,-,,-,,,V-SIE-MEUBILAIR_GRONDSPOT-SO,*_**_IE_MEUBILAIR_GRONDSPOT,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3567,521.0,http://digitalbuildingdata.tech/nlcs/def/1a587a42-9a23-4e38-a5d0-447cd5bbe801,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_GRONDSPOT,*,_,**,_,IE,_,MEUBILAIR,_,GRONDSPOT,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_GRONDSPOT-SO,*_**_IE_MEUBILAIR_GRONDSPOT,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3567,521.0,http://digitalbuildingdata.tech/nlcs/def/1a587a42-9a23-4e38-a5d0-447cd5bbe801,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
MEUBILAIR_GRONDSPOT,*,_,**,_,IE,_,MEUBILAIR,_,GRONDSPOT,_,,_,,_,,_,,-,,-,,,SIE-MEUBILAIR_GRONDSPOT,*_**_IE_MEUBILAIR_GRONDSPOT,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,V-CONTINUOUS-SO,0.35,7,7,7,7,7,CONTINUOUS,,,3567,521.0,http://digitalbuildingdata.tech/nlcs/def/1a587a42-9a23-4e38-a5d0-447cd5bbe801,http://digitalbuildingdata.tech/nlcs/def/9be67492-ccc7-49c8-b3f6-95c4d86ac75b
